"county","direct_estimate","fh_estimate","fitted_value","random_effects","shrinkage_factor","delta"
"Ida",0.138550724637681,0.135850060815121,0.119211954199944,0.0166381066151767,0.860349765707442,0.00270066382255993
"Jones",0.089432703003337,0.0915118364539964,0.119211954199944,-0.0277001177459479,0.930181808906723,-0.00207913345065942
"Shelby",0.089994611101132,0.0928066942912068,0.119211954199944,-0.0264052599087375,0.903752946304377,-0.00281208319007484
"O'Brien",0.106859961141832,0.108023895440492,0.119211954199944,-0.0111880587594527,0.90576951483184,-0.00116393429865967
"Van Buren",0.185459533607682,0.176267490928429,0.119211954199944,0.057055536728485,0.861247116325898,0.00919204267925269
"Jefferson",0.106607585038447,0.107991392330976,0.119211954199944,-0.0112205618689687,0.89021209433029,-0.00138380729252867
"Wright",0.141098630558547,0.138946958003548,0.119211954199944,0.0197350038036034,0.901690301453489,0.00215167255499926
"Fayette",0.144805330002082,0.143679544383605,0.119211954199944,0.0244675901836602,0.956012617202948,0.00112578561847743
"Jasper",0.103629797392422,0.104526048597853,0.119211954199944,-0.0146859056020914,0.942482211127646,-0.000896251205430992
"Crawford",0.096208262591964,0.0971235083268245,0.119211954199944,-0.0220884458731199,0.960213093165318,-0.000915245734860459
"Lyon",0.094261486886216,0.0956510038065945,0.119211954199944,-0.0235609503933498,0.94430898215626,-0.0013895169203785
"Floyd",0.088759741117422,0.0913668887009849,0.119211954199944,-0.0278450654989594,0.91438561209007,-0.00260714758356291
"Howard",0.142138939670932,0.13793766546028,0.119211954199944,0.0187257112603357,0.816754181836583,0.00420127421065192
"Guthrie",0.231508494937361,0.218898729356137,0.119211954199944,0.0996867751561925,0.887710115570616,0.0126097655812241
"Ringgold",0.293869731800766,0.261060285528265,0.119211954199944,0.141848331328321,0.812150098763501,0.0328094462725008
"Greene",0.111966564012319,0.112677712849556,0.119211954199944,-0.00653424135038848,0.901848096676496,-0.000711148837236872
"Decatur",0.158577731637685,0.154392770321934,0.119211954199944,0.0351808161219898,0.893690367925043,0.00418496131575083
"Union",0.124305204648813,0.12363217360361,0.119211954199944,0.00442021940366583,0.867858246524609,0.000673031045202832
"Louisa",0.142208176970176,0.139363956135125,0.119211954199944,0.0201520019351804,0.876317912577668,0.00284422083505123
"Adair",0.132650310056619,0.131195295977591,0.119211954199944,0.0119833417776462,0.891726778592057,0.00145501407902845
